1,Chinese Foods - Cantonese,"€791,82",2/6/2023,1,1
2,Crab - Imitation Flakes,"€760,16",11/4/2022,2,2
3,Plastic Wrap,"€524,55",7/17/2022,3,3
4,Triple Sec - Mcguinness,"€977,74",10/20/2022,4,4
5,"Beans - Black Bean, Preserved","€447,28",6/19/2022,5,5
6,"Extract - Vanilla,artificial","€939,60",1/4/2023,6,6
7,Pepper - Roasted Red,"€672,34",11/13/2022,7,7
8,Apricots Fresh,"€74,51",11/19/2022,8,8
9,Wine - Fat Bastard Merlot,"€691,59",10/12/2022,9,9
10,"Cheese - Boursin, Garlic / Herbs","€54,98",1/10/2023,10,10
11,Island Oasis - Banana Daiquiri,"€976,38",5/12/2023,11,11
12,Tomatoes - Yellow Hot House,"€564,82",10/10/2022,12,12
13,Pepper - Cayenne,"€575,58",12/23/2022,13,13
14,"Pasta - Penne, Rigate, Dry","€492,86",5/20/2023,14,14
15,Butter - Salted,"€282,17",9/27/2022,15,15
16,Tea - Camomele,"€106,62",3/19/2023,16,16
17,Bread - Italian Sesame Poly,"€82,70",8/4/2022,17,17
18,Beef - Inside Round,"€573,96",9/5/2022,18,18
19,Coffee - 10oz Cup 92961,"€706,11",9/4/2022,19,19
20,Pasta - Canelloni,"€901,08",7/2/2022,20,20
21,Flax Seed,"€537,45",11/2/2022,21,21
22,French Kiss Vanilla,"€779,92",3/13/2023,22,22
23,Roe - Flying Fish,"€414,18",10/8/2022,23,23
24,"Tart Shells - Sweet, 3","€245,08",3/15/2023,24,24
25,Wine - Shiraz South Eastern,"€219,94",1/6/2023,25,25
26,Bread Fig And Almond,"€721,44",2/22/2023,26,26
27,Flavouring Vanilla Artificial,"€110,84",8/14/2022,27,27
28,Salad Dressing,"€766,56",9/28/2022,28,28
29,Tea - Green,"€235,60",10/6/2022,29,29
30,Muffin - Mix - Creme Brule 15l,"€336,49",2/5/2023,30,30
31,"Coconut - Shredded, Sweet","€651,05",7/27/2022,31,31
32,"Soup - Campbells, Classic Chix","€619,27",10/20/2022,32,32
33,"Bread - Multigrain, Loaf","€322,96",2/26/2023,33,33
34,Bread - Rye,"€374,14",8/30/2022,34,34
35,Pur Source,"€463,92",2/17/2023,35,35
36,Beer - Tetleys,"€692,00",3/22/2023,36,36
37,Cleaner - Lime Away,"€152,62",10/24/2022,37,37
38,Soap - Pine Sol Floor Cleaner,"€669,78",12/10/2022,38,38
39,Nacho Chips,"€785,30",3/28/2023,39,39
40,Cookies - Assorted,"€151,84",3/15/2023,40,40
41,"Beef - Tongue, Fresh","€358,28",9/26/2022,41,41
42,Wine - Merlot Vina Carmen,"€597,75",12/24/2022,42,42
43,Bread - Calabrese Baguette,"€810,90",2/4/2023,43,43
44,Spring Roll Wrappers,"€630,19",8/7/2022,44,44
45,Mussels - Frozen,"€806,02",5/24/2022,45,45
46,Pastry - Key Limepoppy Seed Tea,"€121,01",12/22/2022,46,46
47,"Beans - Kidney, Canned","€159,01",7/4/2022,47,47
48,Wine - Marlbourough Sauv Blanc,"€899,68",5/15/2023,48,48
49,Leeks - Large,"€391,60",5/30/2022,49,49
50,Appetiser - Bought,"€58,53",11/1/2022,50,50
51,Beer - Original Organic Lager,"€449,31",2/15/2023,51,51
52,Parsley - Dried,"€603,76",9/22/2022,52,52
53,Puree - Raspberry,"€799,13",10/9/2022,53,53
54,Chocolate - Chips Compound,"€829,08",2/7/2023,54,54
55,Tomato - Green,"€924,42",2/3/2023,55,55
56,"Bread - Roll, Canadian Dinner","€342,47",4/11/2023,56,56
57,Beer - Original Organic Lager,"€717,45",1/8/2023,57,57
